cost_cny,total_kw,p1,p2,p3,design
0.0,35.0,35.0,0.0,0.0,01:L; 12:L; 13:L
9460.0,65.0,65.0,0.0,0.0,01:M; 12:L; 13:L
14300.0,100.0,100.0,0.0,0.0,01:H; 12:L; 13:L
33000.0,135.0,35.0,100.0,0.0,01:L; 13:L; 02:H
40700.0,142.5,100.0,42.5,0.0,01:H; 13:L; 02:M
