iteration,phase,status,cost_cny,p1,p2,p3,total_kw,eta,cut_id,cuts,design
1,MP1 固定节点功率,cut,0.0,40.0,35.0,25.0,100.0,0.09639304158389612,1,1,01:L; 12:L; 13:L
2,MP1 固定节点功率,cut,9460.0,40.0,35.0,25.0,100.0,0.06459063700065086,2,2,01:M; 12:L; 13:L
3,MP1 固定节点功率,cut,14300.0,40.0,35.0,25.0,100.0,0.03190261182806448,3,3,01:H; 12:L; 13:L
4,MP1 固定节点功率,cut,17200.0,40.0,35.0,25.0,100.0,0.05618148657535344,4,4,01:M; 12:M; 13:L
5,MP1 固定节点功率,cut,18060.0,40.0,35.0,25.0,100.0,0.0914761624837651,5,5,01:L; 12:M; 13:M
6,MP1 固定节点功率,cut,19780.0,40.0,35.0,25.0,100.0,0.05787495347545762,6,6,01:M; 12:L; 13:M
7,MP1 固定节点功率,cut,21140.0,40.0,35.0,25.0,100.0,0.07416228481141751,7,7,01:M; 13:L; 23:L
8,MP1 固定节点功率,cut,21140.0,40.0,35.0,25.0,100.0,0.06972321011388687,8,8,01:M; 12:L; 23:L
9,MP1 固定节点功率,cut,21160.0,40.0,35.0,25.0,100.0,0.05398012046829959,9,9,01:M; 12:H; 13:L
10,MP1 固定节点功率,cut,21900.0,40.0,35.0,25.0,100.0,0.10989665226630341,10,10,12:L; 13:L; 02:L
