cost_cny,lambda_max,bottleneck,design
0.0,0.5469150866641825,voltage:2,01:L; 12:L; 13:L
9460.0,0.8466403292460464,voltage:2,01:M; 12:L; 13:L
14300.0,1.2273796366934238,voltage:2,01:H; 12:L; 13:L
32360.0,1.5668874267432231,voltage:2,01:H; 12:M; 13:M
41600.0,1.6666666666666667,capacity:01,01:H; 12:H; 13:H
51020.0,2.011144422493353,voltage:3,01:H; 13:M; 02:M
56300.0,2.375,transformer,01:H; 13:H; 02:M
