cut_count_before,lower_bound,upper_bound,violation
0,0.5469150866641825,3.0,0.625
1,0.5469150866641825,2.375,0.35833333333333334
2,0.740981730319215,2.250000000000001,0.18333333333333332
3,1.2273796366934238,1.6666666666666667,0.05336505528672739
4,1.2273796366934238,1.6666666666666667,0.11209083993017588
5,1.2273796366934238,1.6666666666666667,0.043551439508680685
6,1.227379636693424,1.6666666666666667,0.04573178078056292
7,1.5668874267432231,1.6666666666666667,0.010981457707743324
8,1.5668874267432231,1.6666666666666667,0.0902402599320984
9,1.5668874267432231,1.6250000000000269,0.05548104549046095
10,1.5668874267432231,1.5668874267432222,0.0
