global_iteration,query_number,outer_round,phase,iteration,cut_count_before,lower_bound,upper_bound,violation,candidate_cost_cny,candidate_lambda,design_capacity,design,candidate_x,master_bound,absolute_gap,cut_added,cut_id,cut_count_after,cut_margin_at_candidate,dual_stationarity_error,dual_normalization,dual_min_multiplier,strong_duality_error,action,master_status
16,3,2,MP2,5,13,2.011144422493353,2.011144422493364,0.0,51020.0,2.011144422493364,2.011144422493353,01:H; 13:M; 02:M,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",2.011144422493364,1.1102230246251565e-14,False,,13,0.0,0.0,1.0,-0.0,0.0,accept,optimal
17,4,2,MP1,1,13,51019.99999999999,51020.0,0.0,51020.0,2.011144422493353,2.011144422493353,01:H; 13:M; 02:M,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",51019.99999999999,7.275957614183426e-12,False,,13,0.0,0.0,1.0,-0.0,0.0,accept,optimal
18,5,3,MP2,1,13,0.8338677337695612,1.6666666666666665,0.09225574168902838,44700.0,1.6666666666666667,0.8338677337695612,12:H; 13:L; 02:H,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",1.6666666666666665,0.8327989328971053,True,14.0,14,-0.09225574168902828,8.673617379884035e-19,1.0,-0.0,9.71445146547012e-17,add_cut,optimal
19,5,3,MP2,2,14,1.2273796366934238,1.6666666666666665,0.053365055286727386,14300.0,1.6666666666666667,1.2273796366934238,01:H; 12:L; 13:L,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1.6666666666666667,0.43928702997324276,True,15.0,15,-0.0533650552867273,2.168404344971009e-19,0.9999999999999998,-0.0,8.326672684688674e-17,add_cut,optimal
20,5,3,MP2,3,15,1.2273796366934238,1.6666666666666665,0.11209083993017588,31900.0,1.6666666666666667,0.6945966648535505,01:H; 13:L; 23:H,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",1.6666666666666747,0.43928702997324276,True,16.0,16,-0.1120908399301758,1.0842021724855044e-19,1.0,-0.0,8.326672684688674e-17,add_cut,optimal
21,5,3,MP2,4,16,1.2273796366934238,1.6666666666666665,0.0941690639505143,28380.0,1.6666666666666667,0.7986489441863077,01:H; 12:L; 23:M,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1.6666666666666832,0.43928702997324276,True,17.0,17,-0.09416906395051425,2.168404344971009e-19,1.0,-0.0,5.551115123125783e-17,add_cut,optimal
22,5,3,MP2,5,17,1.2273796366934238,1.6666666666666665,0.0902402599320984,31900.0,1.6666666666666667,0.8435278770945185,01:H; 12:L; 23:H,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1.6666666666666827,0.43928702997324276,True,18.0,18,-0.09024025993209847,1.0842021724855044e-19,1.0,-0.0,6.938893903907228e-17,add_cut,optimal
23,5,3,MP2,6,18,1.2273796366934238,1.6666666666666665,0.052005831206415346,37680.0,1.6666666666666667,1.1286721139090512,01:H; 12:H; 23:L,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1.6666666666666667,0.43928702997324276,True,19.0,19,-0.0520058312064155,4.336808689942018e-19,1.0,-0.0,1.5265566588595902e-16,add_cut,optimal
24,5,3,MP2,7,19,1.4251328167627026,1.6666666666666665,0.02203614101545684,43600.0,1.6666666666666667,1.4251328167627026,01:H; 12:H; 23:H,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1.6666666666666667,0.24153384990396387,True,20.0,20,-0.02203614101545673,1.0842021724855044e-19,1.0,-0.0,1.1102230246251565e-16,add_cut,optimal
25,5,3,MP2,8,20,1.4251328167627026,1.6666666666666665,0.03410870651142702,40080.0,1.6666666666666667,1.301564223212587,01:H; 12:H; 23:M,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1.6666666666666667,0.24153384990396387,True,21.0,21,-0.034108706511427084,2.168404344971009e-19,1.0,-0.0,6.245004513516506e-17,add_cut,optimal
26,5,3,MP2,9,21,1.4251328167627026,1.6666666666666665,0.09148063199596612,36300.0,1.6666666666666667,0.7852306162476035,01:H; 13:M; 23:L,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1.6666666666666667,0.24153384990396387,True,22.0,22,-0.0914806319959662,2.168404344971009e-19,0.9999999999999999,-0.0,8.326672684688674e-17,add_cut,optimal
27,5,3,MP2,10,22,1.4251328167627026,1.6666666666666665,0.051847319241771356,39640.0,1.6666666666666667,1.140823931839494,01:H; 12:M; 23:H,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1.6666666666666667,0.24153384990396387,True,23.0,23,-0.051847319241771384,2.168404344971009e-19,1.0,-0.0,2.7755575615628914e-17,add_cut,optimal
28,5,3,MP2,11,23,1.5668874267432231,1.6666666666666665,0.009928390296581619,36320.0,1.6666666666666667,1.5668874267432231,01:H; 12:H; 13:M,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1.6666666666666667,0.0997792399234434,True,24.0,24,-0.00992839029658149,4.336808689942018e-19,1.0000000000000002,-0.0,1.2836953722228372e-16,add_cut,optimal
29,5,3,MP2,12,24,1.5668874267432231,1.6666666666666665,0.0792928994294782,38700.0,1.6666666666666667,0.8955835386440031,01:H; 13:M; 23:M,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",1.6666666666666667,0.0997792399234434,True,25.0,25,-0.07929289942947806,3.2526065174565133e-19,0.9999999999999999,-0.0,1.3877787807814457e-16,add_cut,optimal
30,5,3,MP2,13,25,1.5668874267432231,1.6666666666666665,0.07087732632739147,42220.0,1.6666666666666667,0.9729828670636814,01:H; 13:M; 23:H,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",1.6666666666666667,0.0997792399234434,True,26.0,26,-0.07087732632739144,2.168404344971009e-19,1.0,-0.0,2.7755575615628914e-17,add_cut,optimal
