outer_round,budget_cny,mp2_lambda,mp2_design_cost_cny,mp1_cost_cny,next_budget_cny,quantum_cny,mp2_iterations,mp1_iterations,mp2_new_cuts,mp1_new_cuts,cuts_before,cuts_after,design
1,193780.0,2.375,62900.0,56300.0,56280.0,20,5,6,4,5,0,9,01:H; 13:H; 02:M
2,56280.0,2.011144422493353,51020.0,51020.0,51000.0,20,5,1,4,0,9,13,01:H; 13:M; 02:M
3,51000.0,1.6666666666666667,41600.0,41600.0,41580.0,20,17,6,16,5,13,34,01:H; 12:H; 13:H
4,41580.0,1.5668874267432231,37640.0,32360.0,32340.0,20,2,1,1,0,34,35,01:H; 12:M; 13:M
5,32340.0,1.227379636693424,26000.0,14300.0,14280.0,20,1,1,0,0,35,35,01:H; 12:L; 13:L
6,14280.0,0.8466403292460464,9460.0,9460.0,9440.0,20,2,1,1,0,35,36,01:M; 12:L; 13:L
7,9440.0,0.5469150866641825,7740.0,0.0,-20.0,20,2,1,1,0,36,37,01:L; 12:L; 13:L
