lambda,offset,benders_cost,enumerated_cost,status
0.5468150866641825,-0.0001,0.0,0.0,optimal
0.5469150866641825,0.0,0.0,0.0,optimal
0.5470150866641825,0.0001,9460.0,9460.0,optimal
0.8465403292460464,-0.0001,9460.0,9460.0,optimal
0.8466403292460464,0.0,9460.0,9460.0,optimal
0.8467403292460464,0.0001,14300.0,14300.0,optimal
1.2272796366934238,-0.0001,14300.0,14300.0,optimal
1.2273796366934238,0.0,14300.0,14300.0,optimal
1.2274796366934237,0.0001,32360.0,32360.0,optimal
1.5667874267432231,-0.0001,32360.0,32360.0,optimal
1.5668874267432231,0.0,32360.0,32360.0,optimal
1.566987426743223,0.0001,41600.0,41600.0,optimal
1.6665666666666668,-0.0001,41600.0,41600.0,optimal
1.6666666666666667,0.0,41600.0,41600.0,optimal
1.6667666666666667,0.0001,51020.0,51020.0,optimal
2.011044422493353,-0.0001,51020.0,51020.0,optimal
2.011144422493353,0.0,51020.0,51020.0,optimal
2.0112444224933532,0.0001,56300.0,56300.0,optimal
2.3749,-0.0001,56300.0,56300.0,optimal
2.375,0.0,56300.0,56300.0,optimal
2.3751,0.0001,inf,inf,infeasible
