cost_cny,total_kw,p1,p2,p3
40700.0,140.0,84.2565982936941,55.7434017063059,0.0
33000.0,135.0,35.0,100.0,0.0
14300.0,100.0,84.93614502745143,15.063854972548569,0.0
9460.0,65.0,65.0,0.0,0.0
0.0,35.0,35.0,0.0,0.0
